Datetime,Avg_Vol_Geo,Boro,street,holidays,Floor,Area (sq ft),Type_of_Project,project_active
2012-02-01,85.59243697478992,Bronx,WB W 230th ST APPROACH TO BROADWAY,False,0,0,No_Project,False
2012-02-01,88.80217391304348,Bronx,WEBSTER AVENUE,False,0,0,No_Project,False
2012-02-01,88.80217391304348,Bronx,WEBSTER AV,False,0,0,No_Project,False
2012-02-01,84.90449438202248,Bronx,BRUCKNER BOULEVARD,False,0,0,No_Project,False
2012-02-01,53.17146596858639,Bronx,RIVERDALE AVENUE,False,0,0,No_Project,False
2012-02-01,24.5,Bronx,PROSPECT AVENUE,False,0,0,No_Project,False
2012-02-01,51.6271186440678,Bronx,SOUTHERN BOULEVARD,False,0,0,No_Project,False
2012-02-01,46.61040787623066,Bronx,JEROME AVENUE,False,0,0,No_Project,False
2012-02-01,46.61040787623066,Bronx,JEROME AV,False,0,0,No_Project,False
2012-02-01,16.19888475836431,Bronx,TINTON AVENUE,False,0,0,No_Project,False
2012-02-01,40.57443082311734,Bronx,EAST 181 STREET,False,0,0,No_Project,False
2012-02-01,79.17316017316017,Bronx,WASHINGTON AVENUE,False,0,0,No_Project,False
2012-02-01,92.62600321027288,Bronx,BRUCKNER BOULEVARD,False,0,0,No_Project,False
2012-02-01,69.62121212121212,Bronx,3 AVENUE,False,0,0,No_Project,False
2012-02-01,46.93979933110368,Bronx,EAST 169 STREET,False,0,0,No_Project,False
2012-02-01,81.6086956521739,Bronx,WASHINGTON AVENUE,False,0,0,No_Project,False
2012-02-01,46.24242424242424,Bronx,FULTON AVENUE,False,0,0,No_Project,False
2012-02-01,125.09859154929578,Bronx,EAST 188 STREET,False,0,0,No_Project,False
2012-02-01,42.25418060200669,Bronx,PROSPECT AVENUE,False,0,0,No_Project,False
2012-02-01,145.36028368794325,Bronx,EAST FORDHAM ROAD,False,0,0,No_Project,False
2012-02-01,33.905367231638415,Bronx,VALENTINE AVENUE,False,0,0,No_Project,False
2012-02-01,74.19020866773675,Bronx,BRUCKNER BOULEVARD,False,0,0,No_Project,False
2012-02-01,54.59154929577465,Bronx,EAST KINGSBRIDGE ROAD,False,0,0,No_Project,False
2012-02-01,44.65625,Bronx,EAST KINGSBRIDGE ROAD,False,0,0,No_Project,False
2012-02-01,19.014598540145982,Bronx,GARRISON AVENUE,False,0,0,No_Project,False
2012-02-01,100.9935794542536,Bronx,BRUCKNER BOULEVARD,False,0,0,No_Project,False
2012-02-01,100.9935794542536,Bronx,BRUCKNER BLVD,False,0,0,No_Project,False
2012-02-01,101.5091937765205,Bronx,WEBSTER AVENUE,False,0,0,No_Project,False
2012-02-01,101.5091937765205,Bronx,WEBSTER AV,False,0,0,No_Project,False
2012-02-01,61.48787446504993,Bronx,3 AVENUE,False,0,0,No_Project,False
2012-02-01,40.21926910299003,Bronx,SOUTHERN BOULEVARD,False,0,0,No_Project,False
2012-02-01,51.48041775456919,Bronx,BEDFORD PARK BOULEVARD,False,0,0,No_Project,False
2012-02-01,51.48041775456919,Bronx,BEDFORD PARK BLVD,False,0,0,No_Project,False
2012-02-01,113.94833333333334,Bronx,WESTCHESTER AVENUE,False,0,0,No_Project,False
2012-02-01,50.406047516198704,Bronx,SOUTHERN BOULEVARD,False,0,0,No_Project,False
2012-02-01,41.47844827586207,Bronx,EAST 174 STREET,False,0,0,No_Project,False
2012-02-01,60.70238095238095,Bronx,ARTHUR AVENUE,False,0,0,No_Project,False
2012-02-01,67.80619469026549,Bronx,VAN CORTLANDT AVENUE EAST,False,0,0,No_Project,False
2012-02-01,12.569148936170214,Bronx,EAST MOSHOLU PARKWAY SOUTH,False,0,0,No_Project,False
2012-02-01,64.10560344827586,Bronx,EAST 174 STREET,False,0,0,No_Project,False
2012-02-01,117.70541259982254,Bronx,MOSHOLU PARKWAY,False,0,0,No_Project,False
2012-02-01,43.86850977747808,Bronx,JEROME AVENUE,False,0,0,No_Project,False
2012-02-01,45.56207827260459,Bronx,BAINBRIDGE AVENUE,False,0,0,No_Project,False
2012-02-01,71.70310192023634,Bronx,EAST TREMONT AVENUE,False,0,0,No_Project,False
2012-02-01,15.092134831460674,Bronx,HARROD AVENUE,False,0,0,No_Project,False
2012-02-01,15.273516642547031,Bronx,FTELEY AVENUE,False,0,0,No_Project,False
2012-02-01,31.664055700609225,Bronx,VAN CORTLANDT PARK EAST,False,0,0,No_Project,False
2012-02-01,215.47708894878707,Bronx,EAST GUN HILL ROAD,False,0,0,No_Project,False
2012-02-01,66.53942520265291,Bronx,ROSEDALE AVENUE,False,0,0,No_Project,False
2012-02-01,127.65013054830288,Bronx,BRONX PARK EAST,False,0,0,No_Project,False
2012-02-01,16.501890359168243,Bronx,EAST 174 STREET,False,0,0,No_Project,False
2012-02-01,59.10416666666666,Bronx,WHITE PLAINS ROAD,False,0,10890000,Educational,False
2012-02-01,28.37804878048781,Bronx,BRONX BOULEVARD,False,0,0,No_Project,False
2012-02-01,134.86125654450262,Bronx,PELHAM PARKWAY SOUTH,False,0,10890000,Educational,False
2012-02-01,34.54188481675393,Bronx,PELHAM PARKWAY NORTH,False,0,10890000,Educational,False
2012-02-01,182.00261096605743,Bronx,PELHAM PARKWAY,False,0,0,No_Project,False
2012-02-01,22.31496062992126,Bronx,ASTOR AVENUE,False,0,0,No_Project,False
2012-02-01,44.703539823008846,Bronx,WESTCHESTER AVENUE,False,0,0,No_Project,False
2012-02-01,44.703539823008846,Bronx,WESTCHESTER AV,False,0,0,No_Project,False
2012-02-01,50.92801047120419,Bronx,ALLERTON AVENUE,False,0,0,No_Project,False
2012-02-01,30.8005249343832,Bronx,WILLIAMSBRIDGE ROAD,False,0,0,No_Project,False
2012-02-01,6.098958333333333,Bronx,ESPLANADE,False,0,0,No_Project,False
2012-02-01,9.01049868766404,Bronx,ESPLANADE,False,0,0,No_Project,False
2012-02-01,45.18013698630137,Bronx,BRONXWOOD AVENUE,False,0,0,No_Project,False
2012-02-01,69.00610287707062,Bronx,NEREID AVENUE,False,0,0,No_Project,False
2012-02-01,138.75812743823147,Bronx,WILLIAMSBRIDGE ROAD,False,0,0,No_Project,False
2012-02-01,13.596425912137006,Bronx,LACONIA AVENUE,False,0,0,No_Project,False
2012-02-01,13.596425912137006,Bronx,LACONIA AV,False,0,0,No_Project,False
2012-02-01,32.9679180887372,Bronx,LACONIA AVENUE,False,0,0,No_Project,False
2012-02-01,66.12779267202859,Bronx,EAST 241 STREET,False,0,0,No_Project,False
2012-02-01,19.325974025974027,Bronx,NEILL AVENUE,False,0,0,No_Project,False
